species_id	tax_id	species	genus	subfamily	family	suborder	order	subclass	class	phylum	clade1	kingdom	clade	superkingdom	no rank
Acropora_acuminata_SLJPv1	367763	Acropora acuminata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_awi_SLJPv1	1929007	Acropora awi	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_cytherea_SLJPv1	46686	Acropora cytherea	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_digitifera_SLJPv2	70779	Acropora digitifera	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_echinata_SLJPv1	513064	Acropora echinata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_florida_SLJPv1	70782	Acropora florida	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_gemmifera_SLJPv1	70780	Acropora gemmifera	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_hyacinthus_NANAv1	55974	Acropora hyacinthus	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_hyacinthus_SLJPv1	55974	Acropora hyacinthus	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_intermedia_SLJPv1	114500	Acropora intermedia	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_microphthalma_SLJPv1	156436	Acropora microphthalma	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_millepora_JSIDv2.1	45264	Acropora millepora	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_muricata_SLJPv1	159855	Acropora muricata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_muricata_XSCSv1	159855	Acropora muricata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_nasuta_SLJPv1	70778	Acropora nasuta	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_selago_SLJPv1	165727	Acropora selago	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_tenuis_SLJPv1	70783	Acropora tenuis	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_yongei_SLJPv1	117778	Acropora yongei	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Actinia_equina_RHUKv1	6106	Actinia equina	Actinia	NA	Actiniidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Alatina_alata_BNNLv1-TRANS	1193083	Alatina alata	Alatina	NA	Alatinidae	NA	Carybdeida	NA	Cubozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Amplexidiscus_fenestrafer_MSMEv1	51823	Amplexidiscus fenestrafer	Amplexidiscus	NA	Discosomidae	NA	Corallimorpharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
